Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
12/29/2021,03/01/2020,03/31/2020,By Month,2020,3,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,Louisiana,Total - All Places of Death,1630,5775,959,741,,1853,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,Louisiana,"Healthcare setting, inpatient",1188,2094,697,560,,1327,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,Louisiana,"Healthcare setting, outpatient or emergency room",63,333,47,33,0,77,
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,Louisiana,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,Louisiana,Decedent's home,81,1806,57,29,,111,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,Louisiana,Hospice facility,73,234,39,32,,81,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,Louisiana,Nursing home/long term care facility,210,1001,111,83,0,238,
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,Louisiana,Other,14,302,,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,Louisiana,Total - All Places of Death,742,4794,566,387,,923,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,Louisiana,"Healthcare setting, inpatient",465,1438,382,271,,577,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,Louisiana,"Healthcare setting, outpatient or emergency room",38,309,30,18,,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,Louisiana,Decedent's home,23,1821,33,,0,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,Louisiana,Hospice facility,54,211,37,33,0,58,
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,Louisiana,Nursing home/long term care facility,152,734,76,56,0,172,
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,Louisiana,Other,10,277,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,Louisiana,Total - All Places of Death,361,4270,323,188,,496,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,Louisiana,"Healthcare setting, inpatient",230,1205,229,137,,322,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,Louisiana,"Healthcare setting, outpatient or emergency room",19,262,12,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,Louisiana,Decedent's home,20,1640,17,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,Louisiana,Hospice facility,16,216,12,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,Louisiana,Nursing home/long term care facility,71,623,45,31,0,85,
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,Louisiana,Other,,316,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,Louisiana,Total - All Places of Death,765,5002,562,370,0,957,
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,Louisiana,"Healthcare setting, inpatient",529,1526,403,284,0,648,
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,Louisiana,"Healthcare setting, outpatient or emergency room",37,346,31,16,0,52,
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,Louisiana,Decedent's home,61,1830,43,19,0,85,
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,Louisiana,Hospice facility,12,235,14,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,Louisiana,Nursing home/long term care facility,118,735,65,42,0,141,
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,Louisiana,Other,,326,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,Louisiana,Total - All Places of Death,889,5177,657,476,0,1070,
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,Louisiana,"Healthcare setting, inpatient",638,1707,482,371,0,749,
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,Louisiana,"Healthcare setting, outpatient or emergency room",43,337,30,25,0,48,
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,Louisiana,"Healthcare setting, dead on arrival",,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,Louisiana,Decedent's home,52,1890,42,13,0,81,
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,Louisiana,Hospice facility,28,203,25,16,0,37,
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,Louisiana,Nursing home/long term care facility,116,683,69,47,0,138,
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,Louisiana,Other,11,355,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,Louisiana,Total - All Places of Death,419,4424,374,219,,575,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,Louisiana,"Healthcare setting, inpatient",304,1327,286,179,,412,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,Louisiana,"Healthcare setting, outpatient or emergency room",16,269,18,,0,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,Louisiana,Decedent's home,20,1674,23,,0,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,Louisiana,Hospice facility,14,193,12,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,Louisiana,Nursing home/long term care facility,63,639,32,21,0,74,
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,Louisiana,Other,,319,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,Louisiana,Total - All Places of Death,340,4424,355,177,0,518,
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,Louisiana,"Healthcare setting, inpatient",254,1354,270,148,0,376,
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,Louisiana,"Healthcare setting, outpatient or emergency room",16,303,17,,0,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,Louisiana,Decedent's home,25,1622,25,,0,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,Louisiana,Hospice facility,,231,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,Louisiana,Nursing home/long term care facility,34,575,31,14,0,51,
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,Louisiana,Other,,337,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,Louisiana,Total - All Places of Death,489,4549,426,277,,638,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,Louisiana,"Healthcare setting, inpatient",378,1458,348,242,0,484,
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,Louisiana,"Healthcare setting, outpatient or emergency room",21,331,14,,0,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,Louisiana,Decedent's home,32,1706,29,11,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,Louisiana,Hospice facility,10,205,10,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,Louisiana,Nursing home/long term care facility,42,565,24,,0,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,Louisiana,Other,,283,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,Louisiana,Total - All Places of Death,1031,5393,749,568,,1215,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,Louisiana,"Healthcare setting, inpatient",770,1839,604,481,,895,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,Louisiana,"Healthcare setting, outpatient or emergency room",49,359,40,24,0,65,
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,Louisiana,Decedent's home,75,1960,40,21,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,Louisiana,Hospice facility,27,236,23,15,0,35,
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,Louisiana,Nursing home/long term care facility,98,656,36,24,0,110,
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,Louisiana,Other,12,337,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,Louisiana,Total - All Places of Death,1333,5945,887,701,,1521,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,Louisiana,"Healthcare setting, inpatient",1014,2213,724,597,,1143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,Louisiana,"Healthcare setting, outpatient or emergency room",53,407,31,22,0,62,
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,Louisiana,Decedent's home,119,1995,57,26,0,150,
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,Louisiana,Hospice facility,28,265,16,14,0,30,
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,Louisiana,Nursing home/long term care facility,106,718,56,39,0,123,
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,Louisiana,Other,13,341,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,Louisiana,Total - All Places of Death,619,4630,472,327,,764,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,Louisiana,"Healthcare setting, inpatient",474,1500,376,278,,572,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,Louisiana,"Healthcare setting, outpatient or emergency room",28,344,20,13,0,35,
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,Louisiana,"Healthcare setting, dead on arrival",0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,Louisiana,Decedent's home,56,1698,31,15,0,72,
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,Louisiana,Hospice facility,11,207,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,Louisiana,Nursing home/long term care facility,44,587,28,15,0,57,
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,Louisiana,Other,,290,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,Louisiana,Total - All Places of Death,334,4555,327,173,,489,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,Louisiana,"Healthcare setting, inpatient",262,1359,249,143,,369,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,Louisiana,"Healthcare setting, outpatient or emergency room",,320,14,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,Louisiana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,Louisiana,Decedent's home,25,1752,27,,0,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,Louisiana,Hospice facility,14,231,15,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,Louisiana,Nursing home/long term care facility,22,575,19,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,Louisiana,Other,,318,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,Louisiana,Total - All Places of Death,181,4215,235,83,,334,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,Louisiana,"Healthcare setting, inpatient",130,1141,162,63,0,229,
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,Louisiana,"Healthcare setting, outpatient or emergency room",,302,14,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,Louisiana,Decedent's home,26,1672,28,11,,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,Louisiana,Hospice facility,,230,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,Louisiana,Nursing home/long term care facility,,554,20,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,Louisiana,Other,,311,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,Louisiana,Total - All Places of Death,175,4229,247,98,,324,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,Louisiana,"Healthcare setting, inpatient",130,1138,175,84,,221,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,Louisiana,"Healthcare setting, outpatient or emergency room",,284,12,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,Louisiana,Decedent's home,26,1657,30,,0,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,Louisiana,Hospice facility,,250,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,Louisiana,Nursing home/long term care facility,,551,19,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,Louisiana,Other,0,347,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,Louisiana,Total - All Places of Death,122,4210,201,70,,254,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,Louisiana,"Healthcare setting, inpatient",97,1131,161,65,,194,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,Louisiana,"Healthcare setting, outpatient or emergency room",,303,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,Louisiana,Decedent's home,,1693,17,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,Louisiana,Hospice facility,,239,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,Louisiana,Nursing home/long term care facility,,528,,0,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,Louisiana,Other,,313,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,Louisiana,Total - All Places of Death,345,4612,321,173,,494,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,Louisiana,"Healthcare setting, inpatient",244,1308,234,138,0,340,
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,Louisiana,"Healthcare setting, outpatient or emergency room",20,341,20,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,Louisiana,Decedent's home,54,1798,36,18,0,72,
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,Louisiana,Hospice facility,,267,10,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,Louisiana,Nursing home/long term care facility,14,576,18,,0,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,Louisiana,Other,,318,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,08/01/2021,08/31/2021,By Month,2021,8,Louisiana,Total - All Places of Death,1769,6048,1177,999,,1947,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,08/01/2021,08/31/2021,By Month,2021,8,Louisiana,"Healthcare setting, inpatient",1356,2416,970,845,,1481,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,08/01/2021,08/31/2021,By Month,2021,8,Louisiana,"Healthcare setting, outpatient or emergency room",97,370,47,37,0,107,
12/29/2021,08/01/2021,08/31/2021,By Month,2021,8,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,08/01/2021,08/31/2021,By Month,2021,8,Louisiana,Decedent's home,226,2057,91,73,0,244,
12/29/2021,08/01/2021,08/31/2021,By Month,2021,8,Louisiana,Hospice facility,20,221,19,12,0,27,
12/29/2021,08/01/2021,08/31/2021,By Month,2021,8,Louisiana,Nursing home/long term care facility,48,648,40,24,0,64,
12/29/2021,08/01/2021,08/31/2021,By Month,2021,8,Louisiana,Other,22,334,10,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,08/01/2021,08/31/2021,By Month,2021,8,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,09/01/2021,09/30/2021,By Month,2021,9,Louisiana,Total - All Places of Death,1175,5169,866,703,0,1338,
12/29/2021,09/01/2021,09/30/2021,By Month,2021,9,Louisiana,"Healthcare setting, inpatient",997,2119,749,632,0,1114,
12/29/2021,09/01/2021,09/30/2021,By Month,2021,9,Louisiana,"Healthcare setting, outpatient or emergency room",37,292,35,18,0,54,
12/29/2021,09/01/2021,09/30/2021,By Month,2021,9,Louisiana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
12/29/2021,09/01/2021,09/30/2021,By Month,2021,9,Louisiana,Decedent's home,77,1613,35,21,0,91,
12/29/2021,09/01/2021,09/30/2021,By Month,2021,9,Louisiana,Hospice facility,13,222,12,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2021,09/30/2021,By Month,2021,9,Louisiana,Nursing home/long term care facility,38,580,28,21,0,45,
12/29/2021,09/01/2021,09/30/2021,By Month,2021,9,Louisiana,Other,13,343,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2021,09/30/2021,By Month,2021,9,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,10/01/2021,10/31/2021,By Month,2021,10,Louisiana,Total - All Places of Death,407,4174,354,226,,536,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,10/01/2021,10/31/2021,By Month,2021,10,Louisiana,"Healthcare setting, inpatient",316,1369,288,200,,405,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,10/01/2021,10/31/2021,By Month,2021,10,Louisiana,"Healthcare setting, outpatient or emergency room",10,206,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
